Variables;result
;0,657777777777219
c;0,657777777777219
u1_1A;0,0355555555555555
i1A;0,0657777777777219
u1_2B;0,0355555555555556
i1B;0,0657777777777219
u1_3C;0,0711111111111111
i1C;0,131555555555444
u1_4D;0,0577777777777778
i1D;0,106888888888798
o1A;0,0760555555554909
o1B;0,0924999999999214
o1C;0,10277777777769
o1D;0,0986666666665828
u2_1A;0,0355555555555556
i2A;0,0657777777777219
u2_2B;0,0355555555555556
i2B;0,0657777777777219
u2_3C;0,0533333333333333
i2C;0,0986666666665828
u2_4D;0,0622222222222222
i2D;0,115111111111013
o2A;0,0698888888888295
o2B;0,0863333333332599
o2C;0,106888888888798
o2D;0,0822222222221523
u3_1A;0,0355555555555556
i3A;0,0657777777777219
u3_2B;0,0355555555555555
i3B;0,0657777777777219
u3_3C;0,0444444444444444
i3C;0,0822222222221523
u3_4D;0,0711111111111111
i3D;0,131555555555444
o3A;0,0698888888888295
o3B;0,08633333333326
o3C;0,115111111111013
o3D;0,0739999999999371